,product_id,product_category,care_label,product_main_category,product_sub_category,updated_care_label,color,component,weight
879,#8057,sweater/hoodie,"main fabric: 48% repreve® polyester, 52% recycled polyester, 255 g/m2.",sweater,hoodie,"48% repreve polyester, 52% recycled polyester",,main fabric,255.0
880,#8058,sweater/hoodie,"main: 48% repreve® recycled polyester, 52% recycled polyester, 256 g/m². pocket lining: 100% polyester, 69 g/m². ",sweater,hoodie,"48% repreve recycled polyester, 52% recycled polyester",,main,256.0
881,#8058,sweater/hoodie,"main: 48% repreve® recycled polyester, 52% recycled polyester, 256 g/m². pocket lining: 100% polyester, 69 g/m². ",sweater,hoodie,100% polyester,,pocket lining,69.0
882,#8059,jacket,"main fabric: 48% repreve® polyester, 52% recycled polyester, 255 g/m2.",jacket,,"48% repreve polyester, 52% recycled polyester",,main fabric,255.0
883,#8070,sweater/hoodie,"polartec®: 61% recycled polyester, 39% polyester, 207 g/m2. 
mesh: 100% polyester, 69 g/m2.
",sweater,hoodie,"61% recycled polyester, 39% polyester",,polartec,207.0
884,#8070,sweater/hoodie,"polartec®: 61% recycled polyester, 39% polyester, 207 g/m2. 
mesh: 100% polyester, 69 g/m2.
",sweater,hoodie,100% polyester,,mesh,69.0
885,#8073,jacket,"100% polyester, 235 g/m2.",jacket,,100% polyester,,main,235.0
886,#8075,sweater/hoodie,"polartec®: 61% recycled polyester, 39% polyester, 207 g/m2. 
mesh: 100% polyester, 69 g/m2.
",sweater,hoodie,"61% recycled polyester, 39% polyester",,polartec,207.0
887,#8075,sweater/hoodie,"polartec®: 61% recycled polyester, 39% polyester, 207 g/m2. 
mesh: 100% polyester, 69 g/m2.
",sweater,hoodie,100% polyester,,mesh,69.0
888,#8077,jacket,"100% polyester, 235 g/m².",jacket,,100% polyester,,main,235.0
889,#8101,jacket,"main: 100% polyamide 67 g/m². reinforcement: 88% cordura® polyamide, 12% elastane, 270 g/m². contrast: 90% polyester, 10% elastane, 220 g/m². cuff stretch: 90% polyester 10% elastane, 253 g/m².  insulation: 50% 37.5® polyester, 35% repreve® recycled polyester, 15% polyester, 140 g/m². pocket lining: 100% polyester, 215 g/m². ",jacket,,100% polyamide,,main,67.0
